,estimate,se,z-score,p-value,ci_0.025,ci_0.975,I^2,p(Q),p_fdr
7Networks_LH_Limbic_TempPole_2,-0.1308736721568,0.026475175660822744,-4.9432598232186,7.682698324185111e-07,-0.18276406293638403,-0.07898328137721601,11.435510548679664,0.3411491386313027,3.0730793296740444e-06
7Networks_LH_Cont_Par_1,-0.1683638639337356,0.024818376629258683,-6.78383870342468,1.1702416813363925e-11,-0.21700698828183318,-0.11972073958563799,0.0,0.48459775737111754,1.1702416813363925e-10
7Networks_LH_Cont_PFCl_1,-0.08419072432538745,0.025127739412038077,-3.3505092895484965,0.0008066310378703756,-0.13344018858588974,-0.03494126006488514,0.0,0.4774158489749937,0.001875886134582269
7Networks_LH_Cont_pCun_1,-0.24303480100578273,0.02884416253370882,-8.425788085258477,0.0,-0.2995683207360716,-0.18650128127549384,29.280443876898335,0.19441313163480395,0.0
7Networks_LH_Cont_Cing_1,-0.10479665919176065,0.025746769216302142,-4.070283860135985,4.6955888292066206e-05,-0.15525939957397739,-0.0543339188095439,4.862204219991341,0.3926049749688912,0.0001422905705820188
7Networks_LH_Default_Temp_1,-0.11919481478047322,0.025043845324002847,-4.759445414168606,1.9412561522713645e-06,-0.16827984964991066,-0.0701097799110358,0.0,0.8080570678423764,6.933057686683444e-06
7Networks_LH_Default_Temp_2,-0.04741718540693671,0.04194253146076999,-1.130527504075125,0.2582540157497466,-0.129623036490484,0.03478866567661061,64.62368579774078,0.006048021631760473,0.3587383595146691
7Networks_LH_Default_Par_1,-0.16490588093159048,0.024829003379312868,-6.6416633165786845,3.1016300638953e-11,-0.213569833327067,-0.11624192853611395,0.0,0.5394570637516732,2.58469171991275e-10
7Networks_LH_Default_Par_2,-0.14532384927224018,0.04379428847556525,-3.3183288125190735,0.0009055781241762428,-0.23115907741290562,-0.05948862113157474,67.93321708659981,0.002718194171670512,0.002058132100400552
7Networks_LH_Default_PFC_1,-0.12807163155171364,0.025984526457657378,-4.928765269608068,8.275092262532979e-07,-0.17900036756405024,-0.07714289553937703,7.997604894300702,0.3683776273057426,3.182727793281915e-06
7Networks_LH_Default_PFC_2,-0.15814947827729584,0.02523037789578157,-6.268216787341021,3.6520608759360584e-10,-0.20760011026936318,-0.1086988462852285,1.0826005790991573,0.42094697675322884,2.4347072506240392e-09
7Networks_LH_Default_PFC_3,-0.18399011600366377,0.02560709684351584,-7.185122043628044,6.714628852932947e-13,-0.23417910356558413,-0.1338011284417434,4.443555788178991,0.39579224838089805,8.393286066166183e-12
